Designator,Mid X,Mid Y,Rotation,Layer
D1,96.1233,-55.790501,345.0,top
D10,184.582927,-81.061044,15.0,top
D11,199.813944,-72.207898,15.0,top
D12,217.413926,-72.235528,15.0,top
D13,87.304291,-88.667712,345.0,top
D14,104.904891,-88.636483,345.0,top
D15,120.151907,-97.481759,345.0,top
D16,188.985474,-97.483332,15.0,top
D17,204.215992,-88.638409,15.0,top
D18,221.82011,-88.652868,15.0,top
D19,132.168457,-118.30521,345.0,top
D2,113.708,-55.808381,345.0,top
D20,176.977785,-118.309226,15.0,top
D3,128.95457,-64.616713,345.0,top
D4,180.176248,-64.639116,15.0,top
D5,195.422375,-55.798831,15.0,top
D6,213.019943,-55.804051,15.0,top
D7,91.703902,-72.231717,345.0,top
D8,109.302051,-72.234104,345.0,top
D9,124.54022,-81.081735,345.0,top
H01,212.539312,-87.204839,0.0,top
H02,208.204598,-70.636331,0.0,top
H03,154.57477,-121.073102,0.0,top
H04,172.43533,-93.445043,0.0,top
H05,137.089342,-93.455132,0.0,top
H06,96.539311,-87.20485,0.0,top
H07,100.778714,-70.73426,0.0,top
SW1,94.889986,-60.344454,15.0,bottom
SW10,185.794665,-85.59532,345.0,bottom
SW11,201.034688,-76.765337,345.0,bottom
SW12,218.634693,-76.765319,345.0,bottom
SW13,86.090148,-93.185971,15.0,bottom
SW14,103.69015,-93.185951,15.0,bottom
SW15,118.936645,-102.016776,15.0,bottom
SW16,190.194588,-102.016055,345.0,bottom
SW17,205.434612,-93.186075,345.0,bottom
SW18,223.034613,-93.186059,345.0,bottom
SW19,130.957754,-122.825523,15.0,bottom
SW2,112.489988,-60.344445,15.0,bottom
SW20,178.178571,-122.824876,345.0,bottom
SW21,142.128422,-81.799651,0.0,bottom
SW22,166.782763,-81.827981,0.0,bottom
SW3,127.736508,-69.175359,15.0,bottom
SW4,181.39474,-69.174577,345.0,bottom
SW5,196.634765,-60.344599,345.0,bottom
SW6,214.234769,-60.344577,345.0,bottom
SW7,90.490053,-76.765167,15.0,bottom
SW8,108.090081,-76.765247,15.0,bottom
SW9,123.336577,-85.596067,15.0,bottom
